labels	start	stop
female	0.0	6.72
noEnergy	6.72	9.58
noise	9.58	10.06
noEnergy	10.06	10.540000000000001
female	10.540000000000001	11.58
noEnergy	11.58	12.42
female	12.42	13.72
noEnergy	13.72	16.46
female	16.46	28.14
noEnergy	28.14	28.82
female	28.82	33.160000000000004
noEnergy	33.160000000000004	34.28
female	34.28	36.0
noEnergy	36.0	36.92
female	36.92	39.64
noEnergy	39.64	40.88
female	40.88	43.62
noEnergy	43.62	44.2
female	44.2	46.54
noEnergy	46.54	47.42
female	47.42	48.34
noEnergy	48.34	48.92
female	48.92	49.44
noEnergy	49.44	50.02
female	50.02	50.82
noEnergy	50.82	53.34
female	53.34	58.84
noise	58.84	61.76
female	61.76	63.440000000000005
noEnergy	63.440000000000005	63.96
female	63.96	65.74
noEnergy	65.74	66.28
female	66.28	68.02
noEnergy	68.02	68.7
female	68.7	71.2
noEnergy	71.2	71.8
female	71.8	73.84
noEnergy	73.84	74.56
female	74.56	75.10000000000001
noEnergy	75.10000000000001	75.48
female	75.48	79.14
noEnergy	79.14	79.7
female	79.7	80.82000000000001
noEnergy	80.82000000000001	81.22
female	81.22	87.84
noEnergy	87.84	88.86
female	88.86	95.24
noEnergy	95.24	96.08
female	96.08	100.9
noEnergy	100.9	101.3
female	101.3	109.52
noEnergy	109.52	111.04
